"site","round","rep","species","start_date","NOTES","date","n_germ"
"MA","1","9","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","9","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","9","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","9","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","9","DC",2020-01-23,NA,2020-01-25,"1"
"MA","1","9","DC",2020-01-23,NA,2020-01-26,"5"
"MA","1","9","DC",2020-01-23,NA,2020-01-27,"3"
"MA","1","9","DC",2020-01-23,NA,2020-01-28,"4"
"MA","1","9","DC",2020-01-23,NA,2020-01-29,"7"
"MA","1","9","DC",2020-01-23,NA,2020-01-30,"0"
"MA","1","9","DC",2020-01-23,NA,2020-01-31,"0"
"MA","1","9","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","9","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","9","DC",2020-01-23,NA,2020-02-03,"0"
"MA","1","9","DC",2020-01-23,NA,2020-02-04,"1"
"MA","1","9","DC",2020-01-23,NA,2020-02-05,"0"
"MA","1","9","DC",2020-01-23,NA,2020-02-06,"0"
"MA","1","9","DC",2020-01-23,NA,2020-02-07,"0"
"MA","1","10","DC",2020-01-23,NA,2020-01-21,NA
"MA","1","10","DC",2020-01-23,NA,2020-01-22,NA
"MA","1","10","DC",2020-01-23,NA,2020-01-23,"0"
"MA","1","10","DC",2020-01-23,NA,2020-01-24,"0"
"MA","1","10","DC",2020-01-23,NA,2020-01-25,"1"
"MA","1","10","DC",2020-01-23,NA,2020-01-26,"10"
"MA","1","10","DC",2020-01-23,NA,2020-01-27,"8"
"MA","1","10","DC",2020-01-23,NA,2020-01-28,"1"
"MA","1","10","DC",2020-01-23,NA,2020-01-29,"3"
"MA","1","10","DC",2020-01-23,NA,2020-01-30,"1"
"MA","1","10","DC",2020-01-23,NA,2020-01-31,"0"
"MA","1","10","DC",2020-01-23,NA,2020-02-01,"NA"
"MA","1","10","DC",2020-01-23,NA,2020-02-02,"NA"
"MA","1","10","DC",2020-01-23,NA,2020-02-03,"0"
"MA","1","10","DC",2020-01-23,NA,2020-02-04,"0"
"MA","1","10","DC",2020-01-23,NA,2020-02-05,"0"
"MA","1","10","DC",2020-01-23,NA,2020-02-06,"3"
"MA","1","10","DC",2020-01-23,NA,2020-02-07,"0"
"IL","1","1","DC",2020-01-21,NA,2020-01-21,"34"
"IL","1","1","DC",2020-01-21,NA,2020-01-22,"0"
